complaint_id,reporter_id,subject_id,date,complaint_type,severity,resolution,days_to_resolve
CMP00322,AGENT-008,VF-003114,2026-01-23,SERVICE,MEDIUM,Rejected,
CMP00323,VF-002956,VF-004828,2026-03-07,SERVICE,LOW,Transferred to Legal,
CMP00324,AGENT-049,VF-003433,2026-01-08,SERVICE,LOW,Rejected,
CMP00325,VF-001568,VF-000566,2026-03-03,SERVICE,CRITICAL,Rejected,
CMP00326,AGENT-046,VF-003724,2026-03-22,SERVICE,HIGH,Resolved,10.0
CMP00327,VF-000424,VF-003617,2026-01-11,SERVICE,CRITICAL,Resolved,11.0
CMP00328,AGENT-033,VF-002278,2026-02-03,SERVICE,CRITICAL,,
CMP00329,VF-002707,VF-004465,2026-02-02,SERVICE,HIGH,Resolved,3.0
CMP00330,VF-004859,VF-004886,2026-01-29,SERVICE,MEDIUM,,
CMP00331,VF-000609,VF-003787,2026-03-12,BILLING,HIGH,Rejected,
CMP00332,VF-001544,VF-004676,2026-03-04,BILLING,MEDIUM,,
CMP00333,AGENT-043,VF-000296,2026-03-21,BILLING,HIGH,,
CMP00334,AGENT-011,VF-004386,2026-02-24,SERVICE,MEDIUM,Resolved,29.0
CMP00335,AGENT-026,VF-004708,2026-02-05,SERVICE,CRITICAL,Transferred to Legal,
CMP00336,VF-001744,VF-001717,2026-03-29,SERVICE,LOW,,
CMP00337,VF-001762,VF-003659,2026-03-28,SERVICE,MEDIUM,,
CMP00338,AGENT-002,VF-002053,2026-01-09,BILLING,CRITICAL,Transferred to Legal,
CMP00339,AGENT-044,VF-003272,2026-02-16,BILLING,LOW,Rejected,
CMP00340,VF-002528,VF-000872,2026-03-24,SERVICE,HIGH,Under Review,
CMP00341,VF-003102,VF-004361,2026-03-25,SERVICE,HIGH,Under Review,
CMP00342,VF-000577,VF-004530,2026-03-18,SERVICE,LOW,Transferred to Legal,
CMP00343,VF-002664,VF-003877,2026-03-30,SERVICE,LOW,Rejected,
CMP00344,AGENT-014,VF-001795,2026-02-16,SERVICE,MEDIUM,,
CMP00345,AGENT-016,VF-000713,2026-01-15,BILLING,CRITICAL,Under Review,
CMP00346,AGENT-037,VF-004159,2026-03-18,SERVICE,CRITICAL,Resolved,12.0
CMP00347,VF-004812,VF-002788,2026-02-14,SERVICE,MEDIUM,Resolved,13.0
CMP00348,AGENT-035,VF-001877,2026-03-18,SERVICE,HIGH,Under Review,
CMP00349,AGENT-016,VF-002578,2026-02-27,SERVICE,CRITICAL,Under Review,
CMP00350,AGENT-025,VF-001254,2026-03-14,SERVICE,MEDIUM,Rejected,
CMP00351,AGENT-027,VF-002989,2026-01-25,SERVICE,HIGH,Rejected,
CMP00352,AGENT-026,VF-000147,2026-02-17,SERVICE,HIGH,,
CMP00353,VF-003090,VF-003114,2026-03-13,BILLING,HIGH,,
CMP00354,AGENT-041,VF-002941,2026-01-19,BILLING,HIGH,Resolved,18.0
CMP00355,AGENT-031,VF-004376,2026-02-25,SERVICE,LOW,,
CMP00356,VF-003962,VF-001053,2026-01-20,SERVICE,CRITICAL,Under Review,
CMP00357,AGENT-008,VF-000750,2026-01-30,SERVICE,HIGH,Rejected,
CMP00358,VF-003144,VF-002027,2026-03-18,SERVICE,CRITICAL,Resolved,1.0
CMP00359,VF-000835,VF-000205,2026-03-28,BILLING,HIGH,Rejected,
CMP00360,AGENT-002,VF-003457,2026-01-07,SERVICE,LOW,Resolved,15.0
CMP00361,VF-004592,VF-003928,2026-03-08,BILLING,CRITICAL,Resolved,29.0
CMP00362,AGENT-008,VF-003287,2026-02-15,BILLING,MEDIUM,Transferred to Legal,
CMP00363,AGENT-014,VF-003022,2026-03-23,BILLING,HIGH,Under Review,
CMP00364,VF-004815,VF-002277,2026-03-16,SERVICE,LOW,Resolved,22.0
CMP00365,AGENT-019,VF-003127,2026-03-04,SERVICE,HIGH,Resolved,6.0
CMP00366,AGENT-038,VF-003062,2026-02-17,BILLING,CRITICAL,,
CMP00367,VF-000055,VF-001630,2026-01-03,BILLING,MEDIUM,Transferred to Legal,
CMP00368,AGENT-004,VF-000846,2026-02-07,BILLING,LOW,Transferred to Legal,
CMP00369,VF-004767,VF-000872,2026-02-26,SERVICE,LOW,Transferred to Legal,
CMP00370,VF-001562,VF-003229,2026-01-10,BILLING,MEDIUM,,
CMP00371,AGENT-039,VF-004178,2026-03-18,BILLING,LOW,,
CMP00372,VF-000720,VF-001134,2026-03-29,SERVICE,LOW,Resolved,2.0
CMP00373,VF-001605,VF-000245,2026-03-18,BILLING,LOW,Rejected,
CMP00374,AGENT-041,VF-004235,2026-01-22,BILLING,LOW,Transferred to Legal,
CMP00375,AGENT-028,VF-004347,2026-02-08,BILLING,HIGH,Resolved,21.0
CMP00376,VF-004896,VF-002786,2026-01-12,BILLING,LOW,,
CMP00377,VF-004473,VF-001829,2026-02-25,BILLING,MEDIUM,Rejected,
CMP00378,VF-001402,VF-000669,2026-02-20,SERVICE,LOW,,
CMP00379,VF-004402,VF-000171,2026-02-04,BILLING,MEDIUM,Transferred to Legal,
CMP00380,VF-002487,VF-001311,2026-02-01,SERVICE,CRITICAL,Under Review,
CMP00381,AGENT-024,VF-003127,2026-02-11,BILLING,MEDIUM,,
CMP00382,VF-003031,VF-001024,2026-01-21,BILLING,HIGH,Under Review,
CMP00383,VF-000667,VF-003191,2026-01-03,BILLING,CRITICAL,Transferred to Legal,
CMP00384,VF-000344,VF-002989,2026-01-04,SERVICE,CRITICAL,Rejected,
CMP00385,VF-003781,VF-003744,2026-02-07,BILLING,MEDIUM,Resolved,16.0
CMP00386,VF-002787,VF-000844,2026-02-21,SERVICE,LOW,Rejected,
CMP00387,VF-003530,VF-003090,2026-03-08,SERVICE,HIGH,Transferred to Legal,
CMP00388,AGENT-026,VF-001284,2026-03-13,SERVICE,MEDIUM,Rejected,
CMP00389,VF-003244,VF-000745,2026-01-30,SERVICE,CRITICAL,Transferred to Legal,
CMP00390,VF-000429,VF-002369,2026-02-26,SERVICE,MEDIUM,,
CMP00391,VF-002197,VF-002657,2026-02-26,BILLING,MEDIUM,Transferred to Legal,
CMP00392,VF-004750,VF-003064,2026-02-15,SERVICE,LOW,Rejected,
CMP00393,VF-000108,VF-001717,2026-02-08,BILLING,LOW,Resolved,4.0
CMP00394,AGENT-050,VF-000614,2026-01-08,SERVICE,HIGH,Resolved,14.0
CMP00395,VF-003056,VF-001906,2026-01-03,BILLING,CRITICAL,,
CMP00396,VF-001226,VF-003052,2026-01-03,BILLING,MEDIUM,Resolved,18.0
CMP00397,VF-003216,VF-001254,2026-01-27,SERVICE,HIGH,Resolved,17.0
CMP00398,VF-002448,VF-002153,2026-03-30,BILLING,HIGH,Under Review,
CMP00399,VF-002178,VF-002304,2026-03-05,SERVICE,LOW,Under Review,
CMP00400,VF-004805,VF-001895,2026-03-31,SERVICE,HIGH,,
CMP00401,AGENT-027,VF-003287,2026-02-04,SERVICE,CRITICAL,Resolved,6.0
CMP00402,AGENT-045,VF-001023,2026-01-06,BILLING,LOW,Transferred to Legal,
CMP00403,VF-002461,VF-002266,2026-01-17,BILLING,HIGH,Transferred to Legal,
CMP00404,VF-002587,VF-000041,2026-03-16,SERVICE,CRITICAL,Under Review,
CMP00405,VF-000661,VF-000535,2026-03-04,SERVICE,CRITICAL,,
CMP00406,VF-002427,VF-003365,2026-02-01,BILLING,MEDIUM,Under Review,
CMP00407,VF-003183,VF-003242,2026-02-10,SERVICE,MEDIUM,,
CMP00408,VF-004635,VF-001630,2026-01-03,BILLING,MEDIUM,Transferred to Legal,
CMP00409,AGENT-028,VF-003109,2026-02-24,SERVICE,CRITICAL,Under Review,
CMP00410,AGENT-007,VF-000992,2026-01-26,SERVICE,LOW,,
CMP00411,VF-002696,VF-003709,2026-01-20,BILLING,HIGH,,
CMP00412,AGENT-040,VF-000462,2026-01-16,BILLING,HIGH,Under Review,
CMP00413,VF-003502,VF-001614,2026-01-20,BILLING,CRITICAL,Transferred to Legal,
CMP00414,VF-000808,VF-000793,2026-02-27,SERVICE,LOW,Resolved,8.0
CMP00415,AGENT-047,VF-002941,2026-03-05,SERVICE,MEDIUM,Transferred to Legal,
CMP00416,VF-004725,VF-002963,2026-03-18,BILLING,LOW,Transferred to Legal,
CMP00417,VF-000449,VF-002011,2026-01-02,SERVICE,LOW,Resolved,3.0
CMP00418,VF-003542,VF-000793,2026-01-08,SERVICE,MEDIUM,Resolved,2.0
CMP00419,AGENT-048,VF-001072,2026-02-14,SERVICE,CRITICAL,,
CMP00420,VF-002026,VF-000263,2026-01-23,SERVICE,HIGH,Resolved,25.0
CMP00421,AGENT-021,VF-003109,2026-01-06,BILLING,MEDIUM,Rejected,
CMP00422,AGENT-024,VF-002212,2026-01-14,BILLING,LOW,Rejected,
CMP00423,AGENT-008,VF-001664,2026-01-22,BILLING,LOW,Resolved,15.0
CMP00424,AGENT-050,VF-000838,2026-01-18,SERVICE,LOW,Resolved,28.0
CMP00425,AGENT-008,VF-004468,2026-01-21,BILLING,MEDIUM,Transferred to Legal,
CMP00426,AGENT-015,VF-002657,2026-03-28,SERVICE,MEDIUM,Under Review,
CMP00427,VF-004195,VF-000261,2026-03-15,SERVICE,LOW,,
CMP00428,VF-002374,VF-001032,2026-03-20,BILLING,HIGH,,
CMP00429,VF-003699,VF-002911,2026-01-18,BILLING,MEDIUM,Under Review,
CMP00430,AGENT-048,VF-004789,2026-01-04,BILLING,MEDIUM,Under Review,
CMP00431,AGENT-012,VF-001800,2026-03-16,SERVICE,CRITICAL,Rejected,
CMP00432,AGENT-050,VF-000600,2026-03-10,BILLING,CRITICAL,Transferred to Legal,
CMP00433,VF-003919,VF-003604,2026-02-04,BILLING,LOW,,
CMP00434,VF-003051,VF-000058,2026-01-13,BILLING,MEDIUM,Resolved,15.0
CMP00435,VF-004832,VF-002707,2026-02-05,BILLING,CRITICAL,Rejected,
CMP00436,VF-001966,VF-001142,2026-01-15,BILLING,CRITICAL,Rejected,
CMP00437,VF-002776,VF-003562,2026-01-11,SERVICE,CRITICAL,Rejected,
CMP00438,AGENT-038,VF-003640,2026-01-03,SERVICE,LOW,Rejected,
CMP00439,VF-002667,VF-004946,2026-03-17,BILLING,CRITICAL,Transferred to Legal,
CMP00440,AGENT-002,VF-002445,2026-03-26,BILLING,CRITICAL,Resolved,9.0
CMP00441,AGENT-042,VF-004345,2026-01-06,SERVICE,MEDIUM,Rejected,
CMP00442,VF-003126,VF-003715,2026-02-27,SERVICE,CRITICAL,Resolved,9.0
CMP00443,AGENT-014,VF-000380,2026-02-23,SERVICE,LOW,,
CMP00444,VF-000224,VF-002167,2026-01-12,BILLING,HIGH,,
CMP00445,AGENT-007,VF-000125,2026-01-29,BILLING,CRITICAL,,
CMP00446,AGENT-046,VF-001622,2026-02-09,BILLING,MEDIUM,Rejected,
CMP00447,AGENT-022,VF-000459,2026-02-04,BILLING,LOW,,
CMP00448,VF-000471,VF-004795,2026-03-19,BILLING,CRITICAL,Rejected,
CMP00449,AGENT-021,VF-000113,2026-01-15,SERVICE,MEDIUM,Under Review,
CMP00450,VF-001841,VF-002657,2026-01-01,BILLING,MEDIUM,,
CMP00451,AGENT-001,VF-000929,2026-02-17,BILLING,CRITICAL,Transferred to Legal,
CMP00452,AGENT-010,VF-002445,2026-01-05,SERVICE,CRITICAL,Transferred to Legal,
CMP00453,VF-003304,VF-000327,2026-02-24,BILLING,CRITICAL,,
CMP00454,AGENT-011,VF-004413,2026-01-03,SERVICE,HIGH,Transferred to Legal,
CMP00455,VF-002318,VF-000838,2026-03-06,BILLING,CRITICAL,Transferred to Legal,
CMP00456,VF-004549,VF-002780,2026-02-23,BILLING,CRITICAL,Resolved,18.0
CMP00457,AGENT-021,VF-002007,2026-02-16,BILLING,MEDIUM,Resolved,1.0
CMP00458,VF-004856,VF-003520,2026-01-19,BILLING,MEDIUM,Rejected,
CMP00459,AGENT-038,VF-004419,2026-02-04,SERVICE,HIGH,Under Review,
CMP00460,AGENT-024,VF-000939,2026-03-23,BILLING,HIGH,Under Review,
CMP00461,VF-001347,VF-004868,2026-01-04,BILLING,MEDIUM,Resolved,25.0
CMP00462,AGENT-001,VF-003918,2026-01-25,BILLING,MEDIUM,Transferred to Legal,
CMP00463,VF-000673,VF-000054,2026-03-20,BILLING,HIGH,,
CMP00464,AGENT-028,VF-000913,2026-02-08,SERVICE,CRITICAL,Rejected,
CMP00465,VF-002610,VF-002077,2026-03-15,BILLING,LOW,Resolved,13.0
CMP00466,AGENT-021,VF-003134,2026-02-09,BILLING,CRITICAL,Transferred to Legal,
CMP00467,AGENT-022,VF-002788,2026-02-10,SERVICE,MEDIUM,Rejected,
CMP00468,VF-003705,VF-001116,2026-01-27,SERVICE,MEDIUM,,
CMP00469,VF-003952,VF-000376,2026-01-25,SERVICE,LOW,Resolved,2.0
CMP00470,VF-003129,VF-004946,2026-03-10,BILLING,LOW,Resolved,19.0
CMP00471,AGENT-005,VF-000971,2026-03-20,BILLING,MEDIUM,Resolved,7.0
CMP00472,AGENT-006,VF-001806,2026-02-13,BILLING,HIGH,Resolved,26.0
CMP00473,AGENT-031,VF-002551,2026-01-05,BILLING,LOW,Resolved,26.0
CMP00474,VF-004022,VF-000261,2026-01-08,BILLING,LOW,Under Review,
CMP00475,VF-004727,VF-004758,2026-03-28,SERVICE,LOW,Resolved,26.0
CMP00476,VF-003665,VF-004904,2026-03-13,BILLING,LOW,Rejected,
CMP00477,VF-002725,VF-000663,2026-01-31,SERVICE,CRITICAL,Transferred to Legal,
CMP00478,AGENT-019,VF-001019,2026-03-11,BILLING,LOW,Under Review,
CMP00479,AGENT-036,VF-000220,2026-03-19,BILLING,HIGH,Under Review,
CMP00480,VF-003990,VF-000419,2026-01-03,BILLING,LOW,Under Review,
CMP00481,VF-001065,VF-002891,2026-02-08,BILLING,HIGH,Under Review,
CMP00482,VF-002197,VF-002348,2026-02-17,SERVICE,HIGH,Rejected,
CMP00483,VF-002477,VF-000161,2026-01-16,SERVICE,HIGH,,
CMP00484,AGENT-016,VF-000939,2026-01-21,SERVICE,MEDIUM,Resolved,9.0
CMP00485,AGENT-016,VF-003207,2026-02-13,BILLING,MEDIUM,Rejected,
CMP00486,AGENT-040,VF-000218,2026-03-05,BILLING,MEDIUM,,
CMP00487,VF-004311,VF-003129,2026-03-12,BILLING,MEDIUM,Under Review,
CMP00488,VF-000271,VF-002966,2026-03-09,SERVICE,HIGH,Resolved,6.0
CMP00489,VF-001033,VF-001797,2026-03-21,BILLING,LOW,Under Review,
CMP00490,VF-004973,VF-000621,2026-03-26,SERVICE,MEDIUM,Resolved,8.0
CMP00491,VF-002245,VF-002220,2026-01-04,BILLING,MEDIUM,Under Review,
CMP00492,VF-004772,VF-001629,2026-02-25,SERVICE,CRITICAL,Rejected,
CMP00493,AGENT-003,VF-000291,2026-01-03,SERVICE,CRITICAL,Rejected,
CMP00494,VF-000130,VF-000586,2026-01-17,BILLING,MEDIUM,Under Review,
CMP00495,VF-000124,VF-002963,2026-03-19,BILLING,LOW,Transferred to Legal,
CMP00496,VF-002937,VF-000838,2026-02-09,BILLING,HIGH,Transferred to Legal,
CMP00497,VF-003919,VF-003296,2026-02-08,SERVICE,LOW,,
CMP00498,AGENT-011,VF-000561,2026-03-16,SERVICE,HIGH,Transferred to Legal,
CMP00499,AGENT-009,VF-004565,2026-02-22,SERVICE,MEDIUM,Transferred to Legal,
CMP00500,AGENT-003,VF-003594,2026-03-31,SERVICE,MEDIUM,Resolved,25.0
CMP00501,VF-004895,VF-004090,2026-03-11,BILLING,HIGH,Resolved,6.0
CMP00502,VF-002851,VF-000760,2026-03-31,SERVICE,HIGH,Resolved,30.0
CMP00503,VF-000136,VF-002050,2026-01-20,BILLING,CRITICAL,Rejected,
CMP00504,AGENT-039,VF-003153,2026-01-18,BILLING,MEDIUM,Resolved,16.0
CMP00505,VF-001804,VF-001639,2026-03-11,BILLING,MEDIUM,Under Review,
CMP00506,AGENT-046,VF-003510,2026-03-17,BILLING,LOW,Under Review,
CMP00507,VF-001169,VF-004240,2026-02-07,BILLING,HIGH,Resolved,20.0
CMP00508,VF-004686,VF-001074,2026-01-29,BILLING,HIGH,,
CMP00509,VF-004335,VF-001273,2026-02-13,BILLING,HIGH,Rejected,
CMP00510,VF-000802,VF-002170,2026-02-16,SERVICE,HIGH,Transferred to Legal,
CMP00511,VF-002072,VF-004789,2026-02-03,BILLING,HIGH,Transferred to Legal,
CMP00512,VF-000712,VF-000654,2026-01-19,BILLING,CRITICAL,Resolved,1.0
CMP00513,VF-001421,VF-004463,2026-03-21,BILLING,MEDIUM,Resolved,2.0
CMP00514,VF-001210,VF-002279,2026-02-07,SERVICE,MEDIUM,Rejected,
CMP00515,VF-003335,VF-000356,2026-02-14,SERVICE,HIGH,Under Review,
CMP00516,VF-003295,VF-002299,2026-03-11,SERVICE,MEDIUM,Under Review,
CMP00517,VF-002021,VF-004345,2026-01-18,SERVICE,HIGH,Resolved,21.0
CMP00518,VF-000148,VF-004598,2026-02-03,BILLING,MEDIUM,,
CMP00519,AGENT-018,VF-001520,2026-02-01,SERVICE,LOW,Under Review,
CMP00520,VF-002264,VF-002966,2026-03-03,BILLING,LOW,Rejected,
CMP00521,AGENT-013,VF-000340,2026-03-07,SERVICE,MEDIUM,,
CMP00522,VF-003333,VF-001037,2026-02-18,BILLING,LOW,Resolved,28.0
CMP00523,VF-003472,VF-001729,2026-02-28,SERVICE,HIGH,Rejected,
CMP00524,VF-001298,VF-004204,2026-02-14,SERVICE,MEDIUM,,
CMP00525,AGENT-030,VF-000914,2026-02-14,SERVICE,MEDIUM,Resolved,27.0
CMP00526,AGENT-030,VF-001114,2026-03-25,BILLING,HIGH,Resolved,17.0
CMP00527,AGENT-028,VF-003272,2026-03-23,BILLING,LOW,Transferred to Legal,
CMP00528,VF-003458,VF-004376,2026-03-05,BILLING,CRITICAL,Transferred to Legal,
CMP00529,AGENT-021,VF-004468,2026-03-27,SERVICE,LOW,,
CMP00530,AGENT-003,VF-001834,2026-03-11,SERVICE,MEDIUM,Resolved,23.0
CMP00531,VF-004151,VF-004712,2026-03-20,BILLING,LOW,Rejected,
CMP00532,AGENT-002,VF-003679,2026-01-27,SERVICE,HIGH,Rejected,
CMP00533,AGENT-043,VF-003759,2026-02-02,BILLING,MEDIUM,Rejected,
CMP00534,VF-003452,VF-001630,2026-03-14,SERVICE,LOW,Under Review,
CMP00535,VF-002450,VF-004393,2026-03-21,BILLING,LOW,Resolved,17.0
CMP00536,AGENT-020,VF-004731,2026-03-06,BILLING,MEDIUM,Resolved,27.0
CMP00537,AGENT-049,VF-002267,2026-02-10,BILLING,CRITICAL,Transferred to Legal,
CMP00538,VF-000218,VF-001343,2026-02-01,BILLING,MEDIUM,Transferred to Legal,
CMP00539,VF-002305,VF-002038,2026-01-13,SERVICE,HIGH,Under Review,
CMP00540,AGENT-012,VF-002751,2026-02-12,SERVICE,MEDIUM,Resolved,19.0
CMP00541,VF-004678,VF-001730,2026-03-05,SERVICE,MEDIUM,,
CMP00542,VF-002921,VF-003764,2026-03-22,SERVICE,CRITICAL,Resolved,15.0
CMP00543,VF-000212,VF-001775,2026-03-22,SERVICE,MEDIUM,,
CMP00544,VF-003002,VF-000514,2026-01-03,SERVICE,CRITICAL,,
CMP00545,VF-003001,VF-000261,2026-01-26,SERVICE,HIGH,Resolved,21.0
CMP00546,VF-002290,VF-002194,2026-03-29,SERVICE,MEDIUM,Resolved,21.0
CMP00547,AGENT-016,VF-001023,2026-02-28,SERVICE,MEDIUM,Transferred to Legal,
CMP00548,VF-001242,VF-000641,2026-03-29,BILLING,CRITICAL,Under Review,
CMP00549,AGENT-023,VF-003064,2026-02-11,BILLING,LOW,Under Review,
CMP00550,AGENT-002,VF-000054,2026-02-22,BILLING,CRITICAL,Transferred to Legal,
CMP00551,AGENT-050,VF-000061,2026-02-09,SERVICE,HIGH,Transferred to Legal,
CMP00552,AGENT-034,VF-002006,2026-03-25,SERVICE,HIGH,Rejected,
CMP00553,AGENT-007,VF-002402,2026-02-14,SERVICE,HIGH,Resolved,14.0
CMP00554,AGENT-043,VF-002254,2026-01-27,SERVICE,HIGH,Under Review,
CMP00555,VF-002118,VF-003167,2026-02-20,SERVICE,LOW,Under Review,
CMP00556,AGENT-005,VF-004446,2026-02-25,BILLING,MEDIUM,,
CMP00557,AGENT-043,VF-001867,2026-02-14,BILLING,HIGH,Rejected,
CMP00558,VF-001632,VF-002381,2026-01-14,BILLING,MEDIUM,Resolved,29.0
CMP00559,AGENT-048,VF-000745,2026-03-04,BILLING,MEDIUM,Under Review,
CMP00560,VF-002508,VF-004575,2026-01-10,SERVICE,MEDIUM,Resolved,7.0
CMP00561,VF-003168,VF-002172,2026-03-16,SERVICE,LOW,Transferred to Legal,
CMP00562,VF-003440,VF-003457,2026-01-21,BILLING,HIGH,Rejected,
CMP00563,VF-002480,VF-002371,2026-03-02,SERVICE,LOW,,
CMP00564,VF-004045,VF-001729,2026-02-09,BILLING,LOW,Resolved,12.0
CMP00565,AGENT-030,VF-000745,2026-02-06,BILLING,MEDIUM,Under Review,
CMP00566,AGENT-048,VF-001195,2026-02-06,BILLING,CRITICAL,Under Review,
CMP00567,VF-002644,VF-004875,2026-01-09,BILLING,CRITICAL,Rejected,
CMP00568,VF-002991,VF-000205,2026-03-28,SERVICE,LOW,Resolved,13.0
CMP00569,AGENT-050,VF-001204,2026-01-13,SERVICE,LOW,,
CMP00570,VF-002722,VF-003457,2026-02-01,BILLING,MEDIUM,,
CMP00571,VF-002817,VF-001130,2026-02-13,BILLING,CRITICAL,Rejected,
CMP00572,AGENT-003,VF-002188,2026-01-15,SERVICE,LOW,,
CMP00573,VF-003400,VF-004828,2026-03-20,SERVICE,LOW,Under Review,
CMP00574,VF-002064,VF-004730,2026-02-10,BILLING,MEDIUM,Rejected,
CMP00575,VF-001919,VF-004216,2026-01-14,SERVICE,CRITICAL,Transferred to Legal,
CMP00576,VF-000891,VF-004175,2026-01-30,SERVICE,CRITICAL,Transferred to Legal,
CMP00577,VF-001337,VF-000888,2026-01-27,SERVICE,MEDIUM,Under Review,
CMP00578,VF-001793,VF-001576,2026-02-04,SERVICE,CRITICAL,Resolved,8.0
CMP00579,VF-003101,VF-000939,2026-02-15,SERVICE,HIGH,,
CMP00580,VF-002881,VF-001725,2026-02-11,BILLING,CRITICAL,Under Review,
CMP00581,AGENT-016,VF-000697,2026-03-04,SERVICE,LOW,Resolved,28.0
CMP00582,AGENT-028,VF-004847,2026-02-12,SERVICE,MEDIUM,Under Review,
CMP00583,AGENT-011,VF-002181,2026-02-10,BILLING,HIGH,,
CMP00584,VF-000367,VF-004140,2026-01-16,BILLING,MEDIUM,,
CMP00585,VF-000148,VF-004216,2026-01-03,SERVICE,MEDIUM,Rejected,
CMP00586,VF-004981,VF-001867,2026-01-01,BILLING,CRITICAL,,
CMP00587,VF-002812,VF-004857,2026-02-02,SERVICE,LOW,Under Review,
CMP00588,AGENT-018,VF-002186,2026-03-12,SERVICE,MEDIUM,Transferred to Legal,
CMP00589,AGENT-020,VF-003199,2026-01-23,BILLING,LOW,Rejected,
CMP00590,VF-002171,VF-002429,2026-03-14,SERVICE,CRITICAL,,
CMP00591,VF-003684,VF-002375,2026-03-15,SERVICE,MEDIUM,,
CMP00592,AGENT-026,VF-002788,2026-01-25,SERVICE,MEDIUM,Rejected,
CMP00593,VF-002119,VF-004781,2026-02-13,BILLING,CRITICAL,Resolved,17.0
CMP00594,VF-002393,VF-002170,2026-03-20,SERVICE,CRITICAL,,
CMP00595,VF-002983,VF-001908,2026-03-09,SERVICE,CRITICAL,Transferred to Legal,
CMP00596,VF-001042,VF-000654,2026-03-07,BILLING,LOW,,
CMP00597,AGENT-008,VF-003562,2026-02-18,SERVICE,LOW,Resolved,25.0
CMP00598,AGENT-033,VF-002887,2026-02-07,BILLING,MEDIUM,Transferred to Legal,
CMP00599,VF-001690,VF-000005,2026-02-02,BILLING,MEDIUM,Rejected,
CMP00600,AGENT-046,VF-002998,2026-03-19,SERVICE,MEDIUM,Rejected,
